variable,grupo_a,grupo_b,media_a,media_b,mediana_a,mediana_b,t,p_t,U,p_u,cohen_d,p_t_bonf,p_u_bonf,significativo
duracion_min,latin,pop,3.6230194697855747,3.640191808217189,3.5182166666666665,3.5216666666666665,-1.014135929547488,0.3105462118281901,9675395.0,0.24507825932199412,-0.021615628545814683,1.0,1.0,False
duracion_min,latin,r&b,3.6230194697855747,3.998088162978574,3.5182166666666665,3.92,-19.772549564627724,3.267012599329043e-85,7561952.5,5.733854203803394e-97,-0.41344403029183247,4.900518898993565e-84,8.60078130570509e-96,True
duracion_min,latin,rap,3.6230194697855747,3.5584621587850824,3.5182166666666665,3.5,3.4177369750686064,0.0006340973424245832,11544757.0,0.001325484080440346,0.06919408214151557,0.009511460136368747,0.01988226120660519,True
duracion_min,latin,rock,3.6230194697855747,4.132237022171253,3.5182166666666665,3.9475583333333333,-24.55824921529521,1.539897207949107e-128,6439023.0,1.5458440639971662e-136,-0.5272113474575079,2.3098458119236604e-127,2.3187660959957492e-135,True
duracion_min,pop,r&b,3.640191808217189,3.998088162978574,3.5216666666666665,3.92,-19.80534814987842,1.7813127300324608e-85,8167596.5,2.2208729344147276e-97,-0.4083790047556497,2.671969095048691e-84,3.331309401622091e-96,True
duracion_min,pop,rap,3.640191808217189,3.5584621587850824,3.5216666666666665,3.5,4.543962336771645,5.588350974786355e-06,12556220.5,1.1551464858641542e-05,0.09044501743273443,8.382526462179532e-05,0.00017327197287962312,True
duracion_min,pop,rock,3.640191808217189,4.132237022171253,3.5216666666666665,3.9475583333333333,-24.705471685013485,8.446782179825722e-130,6940190.5,2.86605435829668e-139,-0.5270080171689209,1.2670173269738583e-128,4.29908153744502e-138,True
duracion_min,r&b,rap,3.998088162978574,3.5584621587850824,3.92,3.5,22.07490217103965,1.858724300869058e-105,15455418.5,4.800379441448662e-105,0.44236153941950707,2.788086451303587e-104,7.200569162172993e-104,True
duracion_min,r&b,rock,3.998088162978574,4.132237022171253,3.92,3.9475583333333333,-6.189351174280506,6.311825638244713e-10,9800299.5,1.4238603131330388e-05,-0.13043701108279399,9.46773845736707e-09,0.00021357904696995582,True
duracion_min,rap,rock,3.5584621587850824,4.132237022171253,3.5,3.9475583333333333,-26.558813944906124,1.0492921385932636e-149,7934380.0,1.3420595156989714e-141,-0.548678772608713,1.5739382078898952e-148,2.013089273548457e-140,True
